Series Name,Series Code,Country Name,Country Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Afghanistan,AFG,..,..,..,..,875.517610447298,922.829449153001,916.334474798349,1011.59552439759,1065.61966514703,1210.4792652894,1247.06614429099,1482.09883711417,1581.60083598967,1660.73985617959,1873.15394552307,1913.16064354474,1937.23536529999,1926.3573363363,1944.11700479836
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Albania,ALB,3209.61537164497,3690.68298060151,4029.01697070654,4457.11163824546,4754.65369689757,5114.72169545235,5522.98213441617,5942.88400909312,6631.83568738577,7291.23975121019,8228.33710618171,8813.25200258571,9637.3453676511,10207.7646993323,10526.241215339,10570.9529979079,11259.2645003792,11334.2209323295,11559.3008437783
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Algeria,DZA,7477.97130873803,7725.88372231708,8093.53089306002,8416.75268223159,8911.68068021151,9621.16094702921,10176.6756327083,10971.8468673725,11332.7898984189,11843.7192081941,12162.2643470867,12242.178137001,12610.2480535971,12990.345016498,13404.4117836409,13715.7435787744,14203.89540132,14614.970429045,15013.2963798624
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Angola,AGO,2208.51755904358,2227.24094072851,2277.37461138374,2349.73159560635,2620.88472318679,2698.04428458828,2948.77024821525,3550.72028414685,4202.20848390361,5128.35344973549,5743.09888126617,5718.68552313564,5778.38080340779,5911.25409210655,6110.42339175039,6403.76755557708,6591.53881963735,6631.61869398451,6440.99024209186
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Antigua and Barbuda,ATG,13653.9821099635,14029.0870862791,14987.4111579957,14317.2387466327,14480.0801841251,15479.2220822028,16633.544654479,18065.8052304131,20747.3756401227,22996.7058336582,23162.685755127,20271.086351499,18824.073146248,18605.3167543472,19398.0594771818,19480.1025975588,20619.871374785,21462.2869423222,22661.4885361636
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Argentina,ARG,12132.5103928877,11769.1499747988,11810.0613643332,11419.0588662652,10217.2730997834,11217.5719276888,12430.7137249452,13817.7140737884,15227.5124961234,16865.5447595212,17711.4417867571,16618.1208523782,18333.5436985461,19629.3518451916,19579.0064837139,20161.4968324254,19802.1000113587,20356.9155095569,20042.5400197144
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Armenia,ARM,2015.10557483509,2126.91516905879,2318.23807343875,2613.78456721754,3020.45398677045,3531.9686429486,4031.94720413531,4769.48900409301,5607.6458691567,6605.21669618151,7260.96875587368,6323.57833605451,6567.25858179835,7022.10394338388,7649.49140943212,7997.38712848925,8397.09917770072,8727.55832544865,8832.76343477124
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,35973.780509792,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Australia,AUS,24176.0620974682,25250.5128548919,26316.9478781358,27348.1467588511,28706.4378056749,29678.4892945622,31311.6369353764,32539.0815705167,34291.2877576211,36512.5038384729,37409.163067008,40234.4179183421,39274.7642268777,41894.1730524786,42733.9362506181,45794.4042715848,46742.8026541949,46220.2512642307,46144.120814482
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Austria,AUT,26652.8315743635,27606.4830303088,29375.4047955407,29739.9415290309,31178.6933297272,32106.4660049647,33755.1429267927,35013.7140443423,37627.9709197097,39385.7422696764,41316.225176699,40919.1505775576,42047.0326758635,44452.7327457999,46457.3457770311,47922.0491207455,48787.4915916798,49883.0412977321,50521.4826240632
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Azerbaijan,AZE,2901.35167222536,3136.09389310516,3534.32914766215,3942.08488219485,4393.96719931842,4945.90791637216,5551.44884183019,7169.15043103855,9830.16260573873,12477.3846859443,13799.7861400733,14900.5086642522,15627.6056198817,15754.1523626148,16180.8871503047,17171.7613655507,17608.3706329028,17782.0261527141,17256.6269704411
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Bahamas, The",BHS,23175.9848200419,24910.1012548108,26149.417144362,26972.6720452817,27579.5394604408,27194.1481535347,27596.0255057994,28849.7299556591,29887.1018526489,30535.500500119,29857.2715580086,28325.8786827257,28630.870368075,28941.0282297787,29937.1021672165,29878.0470407833,29977.565612183,30249.7382259305,29779.7979962432
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bahrain,BHR,33826.5315820989,34535.5171817884,35622.601699238,35578.8842945325,35516.2932317334,36258.0924833938,37399.8448142104,38466.5622058612,39163.1204531047,40282.9665240104,40557.0243120659,39412.1674086511,39749.8493845143,40164.5827403304,41714.8436088807,44168.3779484071,46180.0376163635,46775.7403335698,47066.7630999618
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bangladesh,BGD,1183.37670098855,1232.43447266784,1301.46328479352,1372.36251386772,1420.4312516704,1491.023591885,1586.18216794146,1718.40287298916,1864.19450265239,2024.23209501687,2163.55442727762,2264.87149858925,2393.31583163503,2570.85014525476,2756.44346659312,2934.64435240001,3131.92266183321,3335.75979065344,3579.75598102606
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Barbados,BRB,11576.7280036228,11758.2512072417,12260.2352012989,12200.7934801985,12450.7199029467,12941.1900144154,13442.0678453314,14381.2256279966,15609.2940250918,16247.5239359455,16512.9010930927,15906.753310353,16085.8495835757,16472.0832008577,16767.0360265371,16982.0993649935,17233.4355534,17525.6492569711,18054.740747176
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belarus,BLR,5230.10810524106,5513.83337535777,5994.55725732174,6453.90530834298,6927.55456783626,7616.45895157519,8781.63643780397,9984.19270973925,11389.5512774567,12756.6349737882,14383.16738581,14553.7953661949,15906.7561959696,17166.6956434719,17801.9186985095,18271.7542904885,18903.1590190042,18347.1407011402,18089.0503258733
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belgium,BEL,24543.9330228651,25642.2616549851,27983.996115916,28982.595089306,30482.7846512136,31054.3053916126,32249.4994641232,33332.3313498604,35390.8535279226,36866.2656285925,38133.5014644659,38001.9909227332,40091.0099912907,41248.725342013,42354.6314854002,43519.7779201761,44601.3671128873,45414.8905975223,46416.8541977185
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belize,BLZ,4640.47507164007,4937.73030265677,5517.23064357771,5747.7622881618,5965.74670021574,6481.05612810796,6793.29723568804,7010.18845020262,7362.52633715806,7445.77114541173,7638.34796057672,7559.53890962285,7717.4725284288,7857.24806614463,8120.91998278189,8130.31595126342,8427.07563491892,8654.85539129625,8540.40422032373
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Benin,BEN,1210.44911903842,1256.96239341407,1320.88957456507,1380.62022882486,1422.9540625471,1456.36454516645,1516.43028712892,1545.69826491077,1608.7728866525,1701.20707313632,1768.7446574696,1773.16878347771,1781.98706633659,1820.89469315629,1890.14073032202,2002.10660412662,2108.01604124411,2116.03677458311,2167.27284700858
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bermuda,BMU,35044.9513449448,36579.5634273514,40535.2082576999,43976.0925063775,43706.034736478,45797.3203552513,47835.4392260251,49877.2841082861,53949.4237061828,56640.9889952538,58288.6120944144,55320.1617108278,55254.2141192067,54984.5103947777,53097.6962878821,52436.056406239,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bhutan,BTN,2474.17370780244,2637.73005973375,2804.93275688453,3019.00092965503,3300.16293059307,3524.92675279858,3734.48887014555,4026.34187596839,4331.46190597585,5131.41037736024,5372.13242864557,5664.1278051614,6289.81436412947,6805.87845575689,7162.29347421935,7317.33741383861,7760.09018263967,8245.60530630055,8900.76455308796
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bolivia,BOL,3399.25430753221,3399.7349893621,3497.27942818013,3570.05677620502,3647.57122958258,3753.05086469392,3946.70854466843,4180.31826752409,4438.62469927263,4684.94688474023,4986.88053332403,5108.87359361606,5298.08451219437,5598.50844451487,5899.64186063859,6303.06642034157,6662.82976241703,6955.18276973353,7234.19524334693
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bosnia and Herzegovina,BIH,3787.99180668366,4205.49210119993,4528.61304464368,4735.17318004362,5114.27417432348,5348.5872235855,5840.6513999857,6453.18663225115,7380.87540733821,8161.68623470688,9006.44700898036,9003.26972919448,9314.88603110754,9901.61020154702,10181.913229555,10825.840024833,11164.2057322716,11526.4243893206,12172.65025508
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Botswana,BWA,7354.74812157279,8043.51279918659,8251.81945049328,8332.79662706803,8848.10437799182,9314.39571832187,9695.19342940274,10313.6111912576,11346.0494933988,12413.2856854456,13226.6064899232,12098.7929929481,13064.4662387584,13889.2704704923,14506.885230642,16111.1091493253,16765.1596098485,16352.8793260993,16960.9638749829
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Brazil,BRA,8547.34272483546,8588.20868145488,9012.95542519292,9216.32137733195,9515.10002302958,9690.07249929286,10401.8433355874,10950.5697715337,11603.6023664284,12501.1284070073,13259.7294038113,13212.3784657313,14243.492142124,14973.0984736747,15398.4287039609,15971.0089748595,16195.8711227125,15656.2666699696,15181.4713659756
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Brunei Darussalam,BRN,61685.8075984263,63143.4760880756,65034.8346589503,66960.5208174901,69246.7481773335,71337.235205243,72411.5752831565,73873.2902403918,78398.1896570985,79616.870305081,78682.9808251747,76964.3177723928,78923.3904740313,82434.8830910215,83504.3025184817,81827.2734606771,80155.5429896511,79439.062446088,77420.6123414915
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bulgaria,BGR,6008.41037188682,5751.46948475636,6376.85746284045,6914.68883695333,7726.40139821507,8342.56816833388,9126.06781691449,10211.3149300261,11315.0101004177,12798.6946027503,14328.9295392236,14143.6130187685,14948.5975676056,15676.1505350579,16208.2134882088,16631.6615568962,17508.8855040291,18115.2303685143,19242.6226157385
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Burkina Faso,BFA,794.354172082911,842.120332026115,852.388972667646,903.274517043443,929.931041208174,993.26806080577,1035.52289952551,1127.55874317235,1198.50951694667,1261.416063903,1338.8602973718,1347.57924167077,1394.58472667042,1472.71648241138,1549.4802661889,1616.77927059162,1666.89454400624,1699.8799348695,1771.16213900948
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Burundi,BDI,606.831741928996,600.902030251972,597.718189253131,609.144754217792,628.199259149723,613.630038895316,639.874227218527,644.786602674403,677.382665500247,704.439858877756,729.462783308925,735.701234336554,748.380657602419,771.509423734821,793.080192119077,818.28521331237,846.094868209195,796.960811411939,777.752851658978
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cabo Verde,CPV,2401.0899919634,2654.42037886116,3039.91935103396,3116.71101640519,3268.9136058476,3412.64207822292,3801.92990757416,4134.49758438051,4542.1405529358,5308.1341722015,5710.16341956672,5620.53931728869,5710.34425217671,5991.77849034175,6097.22155382914,6171.85798773012,6245.0054820895,6298.8037717756,6541.09976404895
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cambodia,KHM,887.740333055814,991.403292964147,1097.7555894619,1182.05187678882,1255.64420455112,1366.00418525261,1523.77547626251,1753.44198313158,1971.62732569284,2197.82997810164,2355.79030530531,2340.38172140597,2471.89147442893,2658.70924674351,2858.71357016753,3067.55302955128,3291.28476181889,3504.41825365613,3736.96461203482
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cameroon,CMR,1935.42272118738,1998.69349162714,2063.82352270855,2147.15482757839,2214.14894780669,2300.10437609214,2457.35151576487,2519.09001086173,2614.41042613163,2739.67288522194,2812.64505460119,2817.98765363956,2870.56268713564,2969.0475747898,3076.85813905275,3208.26832603863,3367.17697419567,3502.40788727502,3609.37559694929
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Canada,CAN,26117.6117299565,27656.6769217414,29185.3550587258,30073.912805211,30851.3114815056,32189.0615956597,33754.8695616172,36134.6022423077,38009.875996482,39441.9677890234,40277.6193121099,38791.0746857483,40027.2402088674,41565.2712210369,42145.0978611317,44101.4714464506,45519.7939192537,44647.3642265863,44819.4836002717
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,49903.0285395752,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Central African Republic,CAF,641.246530082119,659.981626863929,644.43989516488,674.680269804975,696.114184240571,659.181097713977,704.920767682578,721.248996621022,765.187163842712,807.516137154305,826.813417054097,836.011042410341,863.320204720472,904.610485797435,956.117396809463,613.734675996452,629.046425106389,661.88762493035,693.30690972402
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Chad,TCD,827.987232582298,805.57891619743,787.225118686826,865.77638240656,917.828426528627,1033.58346793282,1366.99601139243,1596.8359830663,1600.20122553425,1640.78038737086,1668.57798496799,1695.96330988651,1886.25106054051,1863.84560539765,1999.03494822396,2077.06024824585,2187.62741095833,2201.18269886883,2025.73724557589
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Chile,CHL,9009.31721071349,8995.18118959855,9571.97894148125,9994.17091790155,10343.2273836998,10858.8014337216,11831.3100517949,12774.7312248309,15773.823019032,16971.7667088299,16551.3071523277,16226.2069326139,18265.3425272305,20437.704525923,21620.2809667472,22578.7289196522,22978.1913015912,22785.8180304618,23476.4267994692
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,China,CHN,2458.63066104439,2664.48503120314,2933.31481687007,3226.84845645728,3551.66365190754,3961.27389293916,4455.20502164089,5092.55983719014,5883.71937721515,6863.98175467412,7635.07261093725,8374.43227112406,9333.12423690653,10384.3665989406,11351.0620576921,12367.9650091944,13440.4774628301,14450.094990196,15530.6342741802
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Colombia,COL,6528.90017378781,6256.81018104118,6585.33413813744,6750.68713876565,6927.32125259077,7241.33125833067,7732.31947622413,8248.35534178596,8957.34111756549,9710.91759594356,10132.2656612857,10260.2266790265,10680.0030066548,11496.4777054381,12058.3437579632,12725.0437311283,13395.516199343,13827.6727863559,14165.4512227635
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Comoros,COM,1052.88627667455,1061.83032068337,1173.81752641852,1198.67108591666,1215.64491347725,1236.16601038234,1264.15613509177,1310.26538212601,1353.51944109414,1367.48883961449,1366.64754971748,1370.46688388663,1383.9296940583,1414.61172325694,1448.4276861253,1487.11050669385,1508.62041667457,1504.71658081263,1521.85721808214
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Congo, Dem. Rep.",COD,515.433430909588,489.425306062329,454.311540544814,442.517363897191,449.176522500066,469.058236547122,498.483440962345,528.961698431253,556.029511433653,587.094398105453,615.277912065108,616.850051937035,646.855793437798,682.43215537283,719.81754613007,767.477239667371,827.316766402232,865.099462663762,868.221543211932
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Congo, Rep.",COG,3452.939884821,3319.54770079494,3551.09264907498,3667.70832941913,3790.19484193496,3791.12980302899,3915.74080755105,4223.07435545744,4474.88010752481,4369.05228717674,4543.92488890468,4760.4444983099,5081.43214469695,5213.94692099844,5368.26568966105,5502.48287322744,5834.00976153059,5902.42965114336,5662.79809114461
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Costa Rica,CRI,7286.41497983041,7527.11162305639,7829.81296167726,8139.81010264789,8397.30253575193,8793.38314665954,9289.50331735902,9817.00119402593,10697.4635440799,11714.2147368533,12329.930057934,12141.9349812074,12737.0201761635,13397.2305422386,14133.6881806511,14524.6715007822,15140.4703680613,15694.6192037295,16387.0490387679
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cote d'Ivoire,CIV,2375.0465599391,2387.90845185766,2336.35692095684,2342.85499642351,2295.19139940123,2268.27229211947,2317.61436177941,2388.43219498255,2450.59677799087,2508.37389933617,2567.19074324489,2612.06386869209,2635.83777138699,2511.42019511915,2762.34142570319,2980.26505984223,3217.771021641,3451.87741812407,3693.6523955676
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Croatia,HRV,9831.24681316676,9748.710079678,10753.2483025995,11309.0342065658,12283.7311647432,13121.6213686635,14092.5964451599,14859.360272224,16927.2265820237,18775.0180752524,20246.9894249813,19447.294585536,19239.748618533,20750.4433202401,21162.9955563574,21779.9839888272,22057.0055290571,22723.6142631873,23710.4090935342
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cyprus,CYP,18935.0149762087,19881.0551380653,21709.1550859041,23263.4339040562,23964.7554398253,24300.463231998,26082.7596388336,28169.5568797536,30482.6076353537,32993.2822676341,34823.6542391999,33882.0964676342,33263.0158296105,33192.5929772985,31914.6243464725,30620.7071488539,30383.5148225188,31523.9268785245,32882.2186186017
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Czech Republic,CZE,14894.2335413301,15324.1064301742,16188.2271902154,17569.1058336591,18189.2343541554,19424.7547140675,20806.6089064521,21956.3838583853,23779.5737230159,26120.375076047,27844.7953264656,27594.3468593931,27694.4019837579,28797.4179611691,29047.2464395949,30485.7141541113,32263.3157548997,33468.7264974291,34749.2123632656
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Denmark,DNK,25792.5810924523,26653.8293359841,28657.5407904467,29474.1381513789,30640.3450364796,30784.1352235764,32920.4770348199,34150.1557953743,37300.4928413295,38961.7706129441,41278.328843462,40332.4514172306,43041.5420245418,44403.3941459257,44803.9622367418,46726.853320478,47901.4475803125,48674.8407494886,49029.0148389124
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,2705.40558882684,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Dominica,DMA,6120.94438012192,6291.7193780794,6480.08268298602,6659.68695053491,6628.72186047005,7252.68597954324,7663.05159606597,7874.89186403854,8333.38880094264,9077.60808148951,9897.4504642508,9834.51240816593,9991.97628607623,10135.2740298011,10164.9581567007,10215.8789204852,10803.2619103343,10586.7704070825,10947.7152243907
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Dominican Republic,DOM,5826.48046509905,6168.34672306237,6499.85349756259,6706.14488963796,7006.28607403313,6943.33020500863,7208.89873942054,8023.78231848281,8900.15465356918,9677.25736820112,10044.0995602192,10078.8701375143,10907.3564141427,11333.5470863931,11706.6926041864,12322.3862089174,13339.7627043004,14264.8354918036,15227.9420223578
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Ecuador,ECU,6079.38954228811,5768.53565627607,5855.63475390995,6120.93089577906,6360.96873310267,6555.37274179298,7169.97230475119,7664.28927281167,8110.48556053097,8366.14544413312,8920.50082665879,8889.21352587757,9163.15913647781,9926.90344109607,10512.3187519049,11037.3467676481,11483.9968026309,11446.3651373736,11242.0475160365
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Egypt, Arab Rep.",EGY,5233.58739637793,5535.52196734252,5856.2217206123,6086.4197384461,6207.54169225174,6410.52373184808,6728.86131609625,7124.48986200231,7708.0475610928,8327.41081259923,8939.28213481048,9255.38392726248,9658.06521473712,9823.82328675711,10003.3542171587,10156.4148475603,10407.7816716365,10750.4563039463,11134.0267191301
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,El Salvador,SLV,4243.41912345635,4366.31939480185,4483.29914705679,4595.67255638507,4712.58643713754,4856.11587636099,5009.56294565618,5285.92073138814,5659.10415095653,5891.54443635557,6107.96453987416,5999.64467425256,6173.31934105825,6511.44372701893,6786.56246328815,7026.60937352046,7258.96754330528,7474.91370431052,7726.17044367092
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Equatorial Guinea,GNQ,6011.99854560297,7368.03553684387,8554.62758357766,13726.6340440764,15984.2427047391,17823.7532919607,24219.667671626,27933.4654483602,29643.9263504681,33513.7421054508,38441.3483297428,37496.5682212741,33041.1883529952,34363.1529063453,36288.4062684229,33877.5422420033,33228.1611784238,29341.4877093529,26142.0895255227
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Eritrea,ERI,1392.29154214059,1380.37759337174,1330.93984994087,1436.29221751617,1453.33365631842,1395.23187180889,1409.0430341793,1450.33341729727,1444.85802970892,1473.07494141085,1329.64437262065,1366.59093114871,1387.71466344319,1510.45892910899,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Estonia,EST,8358.77921078336,8368.20958176921,9419.75695120623,10311.3540444841,11590.6031705331,13063.8080340009,14424.594202025,16516.1438725455,19260.4933930278,21960.507498394,22664.0393274715,20498.7060613234,21602.7407439834,24543.0674715452,26022.4688470951,27495.7344185694,28538.4286440465,28688.9687744908,29743.3374280246
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Ethiopia,ETH,448.272271194173,464.958894732165,490.036390791223,527.317249948666,528.064520044195,512.077545771551,580.921473952381,652.106061397485,724.901694235947,807.436564543538,888.142451706092,948.224952260441,1052.10426150867,1162.78331740492,1253.24331774066,1371.98167052453,1500.65454785138,1632.55180551359,1734.46407451719
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Fiji,FJI,4828.09018157051,5292.48748890484,5289.88152104758,5498.34166469056,5750.99191949907,5917.52896377947,6388.9939041527,6612.74768825184,6895.23751598187,6956.30486613424,7093.550249278,6976.98370264113,7203.36569339968,7488.82938057572,7676.77869438776,8113.23614540101,8661.65588296187,9027.54243817248,9109.95192354859
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Finland,FIN,23539.3318132012,24768.6467026728,26748.6310534523,27793.7183316416,28567.1712020759,28982.9238590739,31129.2996354346,31993.4072568579,34367.4742778969,37696.6476231686,39969.3875987055,37823.2291881784,38775.1748566366,40683.5275821703,40620.176066035,41293.5157728524,41470.2023590157,42071.1912691938,43378.1460288181
